model_id,table1_rows,table1_columns,horizon,hp_set,prediction_on,id,id2
90,Base specification,Escalation,1 month,Tuned,train-cv,Repeat02,Fold2
91,Base specification,Escalation,1 month,Tuned,train-cv,Repeat03,Fold1
92,Base specification,Escalation,1 month,Tuned,train-cv,Repeat03,Fold2
93,Base specification,Escalation,1 month,Tuned,train-cv,Repeat04,Fold1
94,Base specification,Escalation,1 month,Tuned,train-cv,Repeat04,Fold2
95,Base specification,Escalation,1 month,Tuned,train-cv,Repeat05,Fold1
96,Base specification,Escalation,1 month,Tuned,train-cv,Repeat05,Fold2
97,Base specification,Escalation,1 month,Tuned,train-cv,Repeat06,Fold1
98,Base specification,Escalation,1 month,Tuned,train-cv,Repeat06,Fold2
99,Base specification,Escalation,1 month,Tuned,train-cv,Repeat07,Fold1
100,Base specification,Escalation,1 month,Tuned,train-cv,Repeat07,Fold2
101,Base specification,Escalation,1 month,Tuned,train-cv,Repeat08,Fold1
102,Base specification,Escalation,1 month,Tuned,train-cv,Repeat08,Fold2
103,Base specification,Escalation,1 month,Tuned,train-cv,Repeat09,Fold1
104,Base specification,Escalation,1 month,Tuned,train-cv,Repeat09,Fold2
105,Base specification,Escalation,1 month,Tuned,train-cv,Repeat10,Fold1
106,Base specification,Escalation,1 month,Tuned,train-cv,Repeat10,Fold2
107,Base specification,Escalation,1 month,Tuned,train-cv,Repeat11,Fold1
108,Base specification,Escalation,1 month,Tuned,train-cv,Repeat11,Fold2
109,Base specification,Escalation,1 month,Tuned,train-cv,Repeat12,Fold1
110,Base specification,Escalation,1 month,Tuned,train-cv,Repeat12,Fold2
111,Base specification,Escalation,1 month,Tuned,train-cv,Repeat13,Fold1
112,Base specification,Escalation,1 month,Tuned,train-cv,Repeat13,Fold2
113,Base specification,Escalation,1 month,Tuned,train-cv,Repeat14,Fold1
114,Base specification,Escalation,1 month,Tuned,train-cv,Repeat14,Fold2
115,Base specification,Escalation,1 month,Tuned,train-cv,Repeat15,Fold1
116,Base specification,Escalation,1 month,Tuned,train-cv,Repeat15,Fold2
117,Base specification,Escalation,1 month,Tuned,train-cv,Repeat16,Fold1
118,Base specification,Escalation,1 month,Tuned,train-cv,Repeat16,Fold2
119,Base specification,Escalation,1 month,Tuned,train-cv,Repeat17,Fold1
120,Base specification,Escalation,1 month,Tuned,train-cv,Repeat17,Fold2
121,Base specification,Escalation,1 month,Tuned,train-cv,Repeat18,Fold1
122,Base specification,Escalation,1 month,Tuned,train-cv,Repeat18,Fold2
123,Base specification,Escalation,1 month,Tuned,train-cv,Repeat19,Fold1
124,Base specification,Escalation,1 month,Tuned,train-cv,Repeat19,Fold2
125,Base specification,Escalation,1 month,Tuned,train-cv,Repeat20,Fold1
126,Base specification,Escalation,1 month,Tuned,train-cv,Repeat20,Fold2
127,Base specification,Escalation,1 month,Tuned,train-cv,Repeat21,Fold1
128,Base specification,Escalation,1 month,Tuned,train-cv,Repeat21,Fold2
129,Base specification,Escalation,1 month,Tuned,test,NA,NA
130,Base specification,Escalation,6 months,B&S,train-cv,Repeat01,Fold1
131,Base specification,Escalation,6 months,B&S,train-cv,Repeat01,Fold2
132,Base specification,Escalation,6 months,B&S,train-cv,Repeat02,Fold1
133,Base specification,Escalation,6 months,B&S,train-cv,Repeat02,Fold2
134,Base specification,Escalation,6 months,B&S,train-cv,Repeat03,Fold1
135,Base specification,Escalation,6 months,B&S,train-cv,Repeat03,Fold2
136,Base specification,Escalation,6 months,B&S,train-cv,Repeat04,Fold1
137,Base specification,Escalation,6 months,B&S,train-cv,Repeat04,Fold2
138,Base specification,Escalation,6 months,B&S,train-cv,Repeat05,Fold1
139,Base specification,Escalation,6 months,B&S,train-cv,Repeat05,Fold2
140,Base specification,Escalation,6 months,B&S,train-cv,Repeat06,Fold1
141,Base specification,Escalation,6 months,B&S,train-cv,Repeat06,Fold2
142,Base specification,Escalation,6 months,B&S,train-cv,Repeat07,Fold1
143,Base specification,Escalation,6 months,B&S,train-cv,Repeat07,Fold2
144,Base specification,Escalation,6 months,B&S,train-cv,Repeat08,Fold1
145,Base specification,Escalation,6 months,B&S,train-cv,Repeat08,Fold2
146,Base specification,Escalation,6 months,B&S,train-cv,Repeat09,Fold1
147,Base specification,Escalation,6 months,B&S,train-cv,Repeat09,Fold2
148,Base specification,Escalation,6 months,B&S,train-cv,Repeat10,Fold1
149,Base specification,Escalation,6 months,B&S,train-cv,Repeat10,Fold2
150,Base specification,Escalation,6 months,B&S,train-cv,Repeat11,Fold1
151,Base specification,Escalation,6 months,B&S,train-cv,Repeat11,Fold2
152,Base specification,Escalation,6 months,B&S,train-cv,Repeat12,Fold1
