horizon,Escalation Only,With PITF Predictors,Weighted by PITF,PITF Split Population,PITF Only
1 month,0.0025296238316799835,-0.0025696317578209893,-0.0033771890844049857,-7.467238950499278e-4,0.001815806009411003
6 months,0.0035051610427440094,-0.004989307179934954,-0.003556975585599975,-0.0033753281040319605,0.0012291438401400567
