"","escalation","quad","Goldstein","CAMEO","avg"
"Smoothed",0.85252962383168,0.803634158147213,0.79090296394153,0.836570856082329,0.824748351039912
"Not Smoothed",0.785804099082107,0.786075429993316,0.793719020296876,0.808959876114277,0.8221326609621
