horizon,specification,smoothed,original
1 month,escalation with PITF weights,0.715965389313552,0.707480277540158
1 month,escalation with PITF,0.775436714624018,0.78692293388779
1 month,escalation with Split PITF,0.867544507384333,0.791475576909078
1 month,PITF,0.7644094956247,0.763392012114329
6 months,escalation with PITF weights,0.671103881146731,0.674987518721917
6 months,escalation with PITF,0.851038349768627,0.859738243123336
6 months,escalation with Split PITF,0.826253512181903,0.674987518721917
6 months,PITF,0.745979660862549,0.674987518721917
