"","escalation","quad","Goldstein","CAMEO","avg"
"base",0.85252962383168,0.804154308170771,0.791810328992813,0.82483092479243,0.823730758648317
"robust_maxnodes",0.852877101616313,0.795681533729474,0.777622913676934,0.826579955205172,0.818090732616693
"robust_sampsize",0.851043266930822,0.811123505149014,0.707306422892871,0.857396384934673,0.838738393935726
"robust_ntree",0.84523940386544,0.801481032682019,0.782886059260346,0.826180242289543,0.822813016763816
"robust_traintest1",0.861049316617403,0.779333455336691,0.758916172716191,0.814464237198744,0.799858294366453
"robust_traintest2",0.809123027043014,0.791795894360377,0.727280813773529,0.772895175350147,0.775130075415326
"robust_traintest3",0.794789934422305,0.805721288230966,0.693158075255038,0.747289489451686,0.756151075785697
"robust_DV1",0.859911447549212,0.809942025070683,0.794758702479516,0.840569568636647,0.833098398496404
"robust_DV2",0.920773089083239,0.799624335250521,0.812939535138603,0.80872521059569,0.813682662387351
