"","escalation","quad","Goldstein","CAMEO","avg"
"brier",0.00668427726120034,0.00670963651732883,0.00668427726120034,0.00668427726120034,0.00668427726120034
"f1",0.1875,0.162162162162162,0.222222222222222,0.171428571428571,0.2
