"","escalation","quad","Goldstein","CAMEO","avg"
"base",0.823505161042744,0.775060226458467,0.820030175473883,0.763364800152903,0.787303463107463
"robust_maxnodes",0.795567772178123,0.761727913649515,0.808372314233924,0.762536686293699,0.776263397388286
"robust_sampsize",0.829278476155109,0.776623039575414,0.782580097343104,0.78631943574563,0.787242614147198
"robust_ntree",0.824570557525343,0.775543412926663,0.822030492801706,0.770769182316519,0.791200903438113
"robust_traintest1",0.793850586750485,0.776062377485534,0.808090140036898,0.756718619743024,0.779083819788813
"robust_traintest2",0.730939033787021,0.732630290060136,0.7641069366309,0.729276076596899,0.747020441142178
"robust_traintest3",0.87850529386107,0.705691372439615,0.808111232752805,0.682462729620538,0.790989971068779
"robust_DV1",0.827986243346137,0.775812220300845,0.824898103824028,0.784683596967744,0.801270839053478
"robust_DV2",0.828426714769744,0.772707735853699,0.825324129703015,0.780624312538743,0.792890133347837
