horizon,Model,Escalation Only,With PITF Predictors,Weighted by PITF,PITF Split Population,PITF Only
1 month,Base specification,0.8030443233285824,0.7695938897759196,0.7817828639007585,0.8052866987736649,0.7525400012289916
6 months,Base specification,0.8217630574000814,0.8532654629576801,0.7972110721833904,0.7704604106914998,0.7411022474095527
