horizon,Model,Escalation Only,With PITF Predictors,Weighted by PITF,PITF Split Population,PITF Only
1 month,Base specification,0.7832066019443177,0.773171391382254,0.7952957080094627,0.796280119385601,0.7539606119711297
6 months,Base specification,0.7716270990156341,0.8630212954747116,0.8078136087676417,0.8178922987840185,0.7411751662971175
