horizon,Model,Escalation Only,With PITF Predictors,Weighted by PITF,PITF Split Population,PITF Only
1 month,Base specification,0.8527108453643096,0.763685042786174,0.7951513065693337,0.8100752275968217,0.7671522732231284
6 months,Base specification,0.8235372669124419,0.8553509641404272,0.8068846455538475,0.7936675836565628,0.7418342713478532
