horizon,Model,Escalation Only,With PITF Predictors,Weighted by PITF,PITF Split Population,PITF Only
1 month,Base specification,0.0630874944335933,-0.011253828355166862,0.0037714344075180373,0.06203432746026183,0.01310640160234966
6 months,Base specification,0.0582455953794363,-0.007856257732791971,-6.642558813509947e-4,-6.951328321329608e-4,7.955950686607816e-4
