horizon,Model,Escalation Only,With PITF Predictors,Weighted by PITF,PITF Split Population,PITF Only
1 month,Base specification,0.691270650622068,0.7149602284315725,0.690067305731185,0.8132163981235978,0.6654293289822558
6 months,Base specification,0.7920818038804405,0.8706082852648138,0.7957197168327216,0.690744625065548,0.7064105925537494
