horizon,Model,Escalation Only,With PITF Predictors,Weighted by PITF,PITF Split Population,PITF Only
1 month,Base specification,0.8095581128497946,0.7666637791358084,0.7871878831893158,0.8559987588350552,0.7596007171603075
6 months,Base specification,0.8198308200287242,0.8514037273679979,0.7972762169957415,0.7732452269753176,0.7413679283539821
