horizon,row,Escalation Only,With PITF Predictors,Weighted by PITF,PITF Split Population,PITF Only
1 month,Base specification,0.003604211745497632,-0.01206345364906336,0.2688580149626145,-0.033542446954092475,0.001642768068571776
6 months,Base specification,0.0021474537266358285,-0.007762704877878002,0.28667263483366767,-0.047983831441048785,0.0029922141746250297
